months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,blank_cells,has_umbrella,umbrella_limit_missing,policy_annual_premium_missing,policy_deductible_missing,claim_sum_parts,claim_recon_error,claim_recon_flag,log1p_total_claim_amount,log1p_injury_claim,log1p_property_claim,log1p_vehicle_claim,coverage_proxy,premium_per_coverage,deductible_ratio,agi_simple
328.0,48.0,521585,2014/10/17,OH,250/500,1000,1406.91,0,466132,MALE,MD,craft-repair,sleeping,husband,53300.0,0,2015/01/25,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,9935 4th Drive,5,1,YES,1,2,YES,71610.0,6510.0,13020.0,52080,Saab,92x,2004,Y,0,0,0,0,0,71610.0,0.0,0,11.179003972433575,8.781248333236862,9.474318717728728,10.860555477926988,500000.0,0.0028138200000000003,0.002,0.0028143827640000002
228.0,42.0,342868,2006/06/27,IN,250/500,2000,1197.22,5000000,468176,MALE,MD,machine-op-inspct,reading,other-relative,0.0,0,2015/01/21,Vehicle Theft,?,Minor Damage,Police,VA,Riverwood,6608 MLK Hwy,8,1,?,0,0,?,5070.0,780.0,780.0,3510,Mercedes,E400,2007,Y,0,1,0,0,0,5070.0,0.0,0,8.531293315795018,6.660575149839686,6.660575149839686,8.163656176168432,500000.0,0.00239444,0.004,0.0023953977759999996
134.0,29.0,687698,2000/09/06,OH,100/300,2000,1413.14,5000000,430632,FEMALE,PhD,sales,board-games,own-child,35100.0,0,2015/02/22,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7121 Francis Lane,7,3,NO,2,3,NO,34650.0,7700.0,3850.0,23100,Dodge,RAM,2007,N,0,1,0,0,0,34650.0,0.0,0,10.453081864230466,8.94910546953925,8.25608813381491,10.047631185616188,300000.0,0.004710466666666667,0.006666666666666667,0.0047136069777777775
256.0,41.0,227811,1990/05/25,IL,250/500,2000,1415.74,6000000,608117,FEMALE,PhD,armed-forces,Unknown,unmarried,48900.0,62400,2015/01/10,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,6956 Maple Drive,5,1,?,1,2,NO,63400.0,6340.0,6340.0,50720,Chevrolet,Tahoe,2014,Y,0,1,0,0,0,63400.0,0.0,0,11.05723491317159,8.754791763700032,8.754791763700032,10.834095305005077,500000.0,0.00283148,0.004,0.0028326125919999998
228.0,44.0,367455,2014/06/06,IL,500/1000,1000,1583.91,6000000,610706,MALE,Associate,sales,Unknown,unmarried,66000.0,46000,2015/02/17,Vehicle Theft,?,Minor Damage,,NY,Arlington,3041 3rd Ave,20,1,NO,0,1,NO,6500.0,1300.0,650.0,4550,Accura,RSX,2009,N,0,1,0,0,0,6500.0,0.0,0,8.77971129020447,7.170888478512505,6.478509642208569,8.423102268016642,1000000.0,0.00158391,0.001,0.001584068391
256.0,39.0,104594,2006/10/12,OH,250/500,1000,1351.1,0,478456,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0.0,0,2015/01/02,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,8973 Washington St,19,3,NO,0,2,NO,64100.0,6410.0,6410.0,51280,Saab,95,2003,Y,0,0,0,0,0,64100.0,0.0,0,11.068215243411098,8.765770543987257,8.765770543987257,10.845075592184443,500000.0,0.0027021999999999997,0.002,0.0027027404399999995
137.0,34.0,413978,2000/06/04,IN,250/500,1000,1333.35,0,441716,MALE,College,prof-specialty,board-games,husband,0.0,77000,2015/01/13,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,5846 Weaver Drive,0,3,?,0,0,?,78650.0,21450.0,7150.0,50050,Nissan,Pathfinder,2012,N,0,0,0,0,0,78650.0,0.0,0,11.272775622963763,9.973526543316105,8.875007486048396,10.820797764563748,500000.0,0.0026666999999999997,0.002,0.0026672333399999997
165.0,37.0,429027,1990/02/03,IL,100/300,1000,1137.03,0,603195,MALE,Associate,tech-support,base-jumping,unmarried,0.0,0,2015/02/27,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,3525 3rd Hwy,23,3,?,2,2,YES,51590.0,9380.0,9380.0,32830,Audi,A5,2015,N,0,0,0,0,0,51590.0,0.0,0,10.85110251765231,9.14644164612595,9.14644164612595,10.399128469976915,300000.0,0.0037901,0.0033333333333333335,0.0037913633666666665
27.0,33.0,485665,1997/02/05,IL,100/300,500,1442.99,0,601734,FEMALE,PhD,other-service,golf,own-child,0.0,0,2015/01/30,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,4872 Rock Ridge,21,1,NO,1,1,YES,27700.0,2770.0,2770.0,22160,Toyota,Camry,2012,N,0,0,0,0,0,27700.0,0.0,0,10.229223792606836,7.926963544862978,7.926963544862978,10.006089266196849,300000.0,0.004809966666666667,0.0016666666666666668,0.004810768327777778
212.0,42.0,636550,2011/07/25,IL,100/300,500,1315.68,0,600983,MALE,PhD,priv-house-serv,camping,wife,0.0,39300,2015/01/05,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,3066 Francis Ave,14,1,NO,2,1,?,42300.0,4700.0,4700.0,32900,Saab,92x,1996,N,0,0,0,0,0,42300.0,0.0,0,10.652566005416872,8.45553053102413,8.45553053102413,10.401258331428318,300000.0,0.0043856,0.0016666666666666668,0.004386330933333333
