,missing_rate
authorities_contacted,0.091
log1p_property_claim,0.001
log1p_injury_claim,0.001
injury_claim,0.001
property_claim,0.001
months_as_customer,0.0
auto_year,0.0
bodily_injuries,0.0
witnesses,0.0
police_report_available,0.0
total_claim_amount,0.0
vehicle_claim,0.0
auto_make,0.0
auto_model,0.0
fraud_reported,0.0
number_of_vehicles_involved,0.0
blank_cells,0.0
has_umbrella,0.0
umbrella_limit_missing,0.0
policy_annual_premium_missing,0.0
policy_deductible_missing,0.0
claim_sum_parts,0.0
claim_recon_error,0.0
claim_recon_flag,0.0
log1p_total_claim_amount,0.0
property_damage,0.0
incident_hour_of_the_day,0.0
age,0.0
incident_location,0.0
policy_number,0.0
policy_bind_date,0.0
policy_state,0.0
policy_csl,0.0
policy_deductible,0.0
policy_annual_premium,0.0
umbrella_limit,0.0
insured_zip,0.0
insured_sex,0.0
insured_education_level,0.0
insured_occupation,0.0
insured_hobbies,0.0
insured_relationship,0.0
capital_gains,0.0
capital_loss,0.0
incident_date,0.0
incident_type,0.0
collision_type,0.0
incident_severity,0.0
incident_state,0.0
incident_city,0.0
log1p_vehicle_claim,0.0
